genome_ID	output_type
MGYG-HGUT-00124	primary
MGYG-HGUT-00125	secondary
MGYG-HGUT-00126	primary
MGYG-HGUT-00127	primary
MGYG-HGUT-00128	primary
MGYG-HGUT-00129	secondary
MGYG-HGUT-00130	secondary
MGYG-HGUT-00131	primary
MGYG-HGUT-00132	primary
MGYG-HGUT-00133	primary
MGYG-HGUT-00134	primary
MGYG-HGUT-00135	primary
MGYG-HGUT-00136	secondary
MGYG-HGUT-00137	primary
MGYG-HGUT-00138	primary
MGYG-HGUT-00139	secondary
MGYG-HGUT-00140	secondary
MGYG-HGUT-00141	primary
MGYG-HGUT-00142	primary
MGYG-HGUT-00143	primary
MGYG-HGUT-00144	secondary
MGYG-HGUT-00145	primary
MGYG-HGUT-00146	primary
MGYG-HGUT-00147	secondary
MGYG-HGUT-00148	primary
MGYG-HGUT-00149	primary
MGYG-HGUT-00150	primary
MGYG-HGUT-00151	primary
MGYG-HGUT-00152	primary
MGYG-HGUT-00153	secondary
MGYG-HGUT-00154	secondary
MGYG-HGUT-00155	secondary
MGYG-HGUT-00156	primary
MGYG-HGUT-00157	primary
MGYG-HGUT-00158	primary
MGYG-HGUT-00159	primary
MGYG-HGUT-00160	primary
MGYG-HGUT-00161	secondary
MGYG-HGUT-00162	secondary
MGYG-HGUT-00163	secondary
MGYG-HGUT-00164	primary
MGYG-HGUT-00165	primary
MGYG-HGUT-00166	secondary
MGYG-HGUT-00167	primary
MGYG-HGUT-00168	primary
MGYG-HGUT-00169	secondary
MGYG-HGUT-00170	secondary
MGYG-HGUT-00171	primary
MGYG-HGUT-00172	primary
MGYG-HGUT-00173	secondary
MGYG-HGUT-00174	primary
MGYG-HGUT-00175	primary
MGYG-HGUT-00176	primary
MGYG-HGUT-00177	primary
MGYG-HGUT-00178	secondary
MGYG-HGUT-00179	primary
MGYG-HGUT-00180	primary
MGYG-HGUT-00181	primary
MGYG-HGUT-00182	secondary
MGYG-HGUT-00183	primary
MGYG-HGUT-00184	primary
MGYG-HGUT-00185	absent
MGYG-HGUT-00186	primary
MGYG-HGUT-00187	secondary
MGYG-HGUT-00188	primary
MGYG-HGUT-00189	secondary
MGYG-HGUT-00190	secondary
MGYG-HGUT-00191	secondary
MGYG-HGUT-00192	primary
MGYG-HGUT-00193	primary
MGYG-HGUT-00194	primary
MGYG-HGUT-00195	primary
MGYG-HGUT-00196	primary
MGYG-HGUT-00197	primary
MGYG-HGUT-00198	primary
MGYG-HGUT-00199	secondary
MGYG-HGUT-00200	primary
MGYG-HGUT-00201	primary
MGYG-HGUT-00202	primary
MGYG-HGUT-00203	primary
MGYG-HGUT-00204	secondary
MGYG-HGUT-00205	primary
MGYG-HGUT-00206	primary
MGYG-HGUT-00207	primary
MGYG-HGUT-00208	secondary
MGYG-HGUT-00209	secondary
MGYG-HGUT-00210	primary
MGYG-HGUT-00211	primary
MGYG-HGUT-00212	primary
MGYG-HGUT-00213	primary
MGYG-HGUT-00214	secondary
MGYG-HGUT-00215	primary
MGYG-HGUT-00216	primary
MGYG-HGUT-00217	secondary
MGYG-HGUT-00218	primary
MGYG-HGUT-00219	secondary
MGYG-HGUT-00220	primary
MGYG-HGUT-00221	primary
MGYG-HGUT-00222	primary
MGYG-HGUT-00223	primary
MGYG-HGUT-00224	primary
MGYG-HGUT-00225	secondary
MGYG-HGUT-00226	secondary
MGYG-HGUT-00227	secondary
MGYG-HGUT-00228	primary
MGYG-HGUT-00229	primary
MGYG-HGUT-00230	primary
MGYG-HGUT-00231	secondary
MGYG-HGUT-00232	primary
MGYG-HGUT-00233	primary
MGYG-HGUT-00234	secondary
MGYG-HGUT-00235	primary
MGYG-HGUT-00236	primary
MGYG-HGUT-00237	primary
MGYG-HGUT-00238	secondary
MGYG-HGUT-00239	primary
MGYG-HGUT-00240	primary
MGYG-HGUT-00241	secondary
MGYG-HGUT-00242	primary
MGYG-HGUT-00243	primary
MGYG-HGUT-00244	primary
MGYG-HGUT-00245	secondary
MGYG-HGUT-00246	secondary
MGYG-HGUT-00247	primary
MGYG-HGUT-00248	secondary
MGYG-HGUT-00249	primary
MGYG-HGUT-00250	secondary
MGYG-HGUT-00251	primary
MGYG-HGUT-00252	primary
MGYG-HGUT-00253	primary
MGYG-HGUT-00254	primary
MGYG-HGUT-00255	primary
MGYG-HGUT-00256	primary
MGYG-HGUT-00257	primary
MGYG-HGUT-00258	secondary
MGYG-HGUT-00259	primary
MGYG-HGUT-00260	primary
MGYG-HGUT-00261	primary
MGYG-HGUT-00262	secondary
MGYG-HGUT-00263	primary
MGYG-HGUT-00264	secondary
MGYG-HGUT-00265	primary
MGYG-HGUT-00266	primary
MGYG-HGUT-00267	secondary
MGYG-HGUT-00268	primary
MGYG-HGUT-00269	secondary
MGYG-HGUT-00270	primary
MGYG-HGUT-00271	secondary
MGYG-HGUT-00272	primary
MGYG-HGUT-00273	primary
MGYG-HGUT-00274	primary
MGYG-HGUT-00275	primary
MGYG-HGUT-00276	primary
MGYG-HGUT-00277	secondary
MGYG-HGUT-00278	primary
MGYG-HGUT-00279	primary
MGYG-HGUT-00280	secondary
MGYG-HGUT-00281	primary
MGYG-HGUT-00282	secondary
MGYG-HGUT-00283	primary
MGYG-HGUT-00284	primary
MGYG-HGUT-00285	absent
MGYG-HGUT-00286	absent
MGYG-HGUT-00287	primary
MGYG-HGUT-00288	primary
MGYG-HGUT-00289	primary
MGYG-HGUT-00290	primary
MGYG-HGUT-00291	absent
MGYG-HGUT-00292	secondary
MGYG-HGUT-00293	secondary
MGYG-HGUT-00294	primary
MGYG-HGUT-00295	primary
MGYG-HGUT-00296	primary
MGYG-HGUT-00297	absent
MGYG-HGUT-00298	secondary
MGYG-HGUT-00299	secondary
MGYG-HGUT-00300	secondary
MGYG-HGUT-00301	primary
MGYG-HGUT-00302	primary
MGYG-HGUT-00303	secondary
MGYG-HGUT-00304	secondary
MGYG-HGUT-00305	primary
MGYG-HGUT-00306	secondary
MGYG-HGUT-00307	secondary
MGYG-HGUT-00308	absent
MGYG-HGUT-00309	primary
MGYG-HGUT-00310	absent
MGYG-HGUT-00311	primary
MGYG-HGUT-00312	primary
MGYG-HGUT-00313	secondary
MGYG-HGUT-00314	primary
MGYG-HGUT-00315	secondary
MGYG-HGUT-00316	primary
MGYG-HGUT-00317	primary
MGYG-HGUT-00318	secondary
MGYG-HGUT-00319	secondary
MGYG-HGUT-00320	primary
MGYG-HGUT-00321	primary
MGYG-HGUT-00322	primary
MGYG-HGUT-00323	secondary
MGYG-HGUT-00324	secondary
MGYG-HGUT-00325	secondary
MGYG-HGUT-00326	absent
MGYG-HGUT-00327	absent
MGYG-HGUT-00328	absent
MGYG-HGUT-00329	secondary
MGYG-HGUT-00330	secondary
MGYG-HGUT-00331	primary
MGYG-HGUT-00332	absent
MGYG-HGUT-00333	absent
MGYG-HGUT-00334	secondary
MGYG-HGUT-00335	secondary
MGYG-HGUT-00336	absent
MGYG-HGUT-00337	primary
MGYG-HGUT-00338	secondary
MGYG-HGUT-00339	secondary
MGYG-HGUT-00340	secondary
MGYG-HGUT-00341	absent
MGYG-HGUT-00342	secondary
MGYG-HGUT-00343	primary
MGYG-HGUT-00344	secondary
MGYG-HGUT-00345	secondary
MGYG-HGUT-00346	secondary
MGYG-HGUT-00347	secondary
MGYG-HGUT-00348	primary
MGYG-HGUT-00349	secondary
MGYG-HGUT-00350	secondary
MGYG-HGUT-00351	primary
MGYG-HGUT-00352	secondary
MGYG-HGUT-00353	secondary
MGYG-HGUT-00354	primary
MGYG-HGUT-00355	primary
MGYG-HGUT-00356	secondary
MGYG-HGUT-00357	secondary
MGYG-HGUT-00358	primary
MGYG-HGUT-00359	primary
MGYG-HGUT-00360	secondary
MGYG-HGUT-00361	secondary
MGYG-HGUT-00362	secondary
MGYG-HGUT-00363	secondary
MGYG-HGUT-00364	secondary
MGYG-HGUT-00365	absent
MGYG-HGUT-00366	secondary
MGYG-HGUT-00367	secondary
MGYG-HGUT-00368	primary
MGYG-HGUT-00369	primary
MGYG-HGUT-00370	primary
MGYG-HGUT-00371	secondary
MGYG-HGUT-00372	absent
MGYG-HGUT-00373	secondary
MGYG-HGUT-00374	absent
MGYG-HGUT-00375	absent
MGYG-HGUT-00376	absent
MGYG-HGUT-00377	secondary
MGYG-HGUT-00378	primary
MGYG-HGUT-00379	secondary
MGYG-HGUT-00380	primary
MGYG-HGUT-00381	absent
MGYG-HGUT-00382	absent
MGYG-HGUT-00383	secondary
MGYG-HGUT-00384	absent
MGYG-HGUT-00385	secondary
MGYG-HGUT-00386	secondary
MGYG-HGUT-00387	secondary
MGYG-HGUT-00388	secondary
MGYG-HGUT-00389	secondary
MGYG-HGUT-00390	secondary
MGYG-HGUT-00391	secondary
MGYG-HGUT-00392	secondary
MGYG-HGUT-00393	secondary
MGYG-HGUT-00394	secondary
MGYG-HGUT-00395	secondary
MGYG-HGUT-00396	primary
MGYG-HGUT-00397	absent
MGYG-HGUT-00398	secondary
MGYG-HGUT-00399	secondary
MGYG-HGUT-00400	secondary
MGYG-HGUT-00401	absent
MGYG-HGUT-00402	secondary
MGYG-HGUT-00403	secondary
MGYG-HGUT-00404	secondary
MGYG-HGUT-00405	secondary
MGYG-HGUT-00406	secondary
MGYG-HGUT-00407	absent
MGYG-HGUT-00408	secondary
MGYG-HGUT-00409	secondary
MGYG-HGUT-00410	secondary
MGYG-HGUT-00411	secondary
MGYG-HGUT-00412	secondary
MGYG-HGUT-00413	secondary
MGYG-HGUT-00414	primary
MGYG-HGUT-00415	primary
MGYG-HGUT-00416	secondary
MGYG-HGUT-00417	secondary
MGYG-HGUT-00418	primary
MGYG-HGUT-00419	absent
MGYG-HGUT-00420	secondary
MGYG-HGUT-00421	absent
MGYG-HGUT-00422	secondary
MGYG-HGUT-00423	absent
MGYG-HGUT-00424	secondary
MGYG-HGUT-00425	absent
MGYG-HGUT-00426	absent
MGYG-HGUT-00427	secondary
MGYG-HGUT-00428	secondary
MGYG-HGUT-00429	secondary
MGYG-HGUT-00430	absent
MGYG-HGUT-00431	secondary
MGYG-HGUT-00432	absent
MGYG-HGUT-00433	secondary
MGYG-HGUT-00434	absent
MGYG-HGUT-00435	secondary
MGYG-HGUT-00436	secondary
MGYG-HGUT-00437	primary
MGYG-HGUT-00438	secondary
MGYG-HGUT-00439	primary
MGYG-HGUT-00440	secondary
MGYG-HGUT-00441	secondary
MGYG-HGUT-00442	primary
MGYG-HGUT-00443	secondary
MGYG-HGUT-00444	secondary
MGYG-HGUT-00445	absent
MGYG-HGUT-00446	secondary
MGYG-HGUT-00447	secondary
MGYG-HGUT-00448	secondary
MGYG-HGUT-00449	absent
MGYG-HGUT-00450	secondary
MGYG-HGUT-00451	primary
MGYG-HGUT-00452	secondary
MGYG-HGUT-00453	secondary
MGYG-HGUT-00454	secondary
MGYG-HGUT-00455	absent
MGYG-HGUT-00456	absent
MGYG-HGUT-00457	secondary
MGYG-HGUT-00458	primary
MGYG-HGUT-00459	absent
MGYG-HGUT-00460	secondary
MGYG-HGUT-00461	absent
MGYG-HGUT-00462	secondary
MGYG-HGUT-00463	secondary
MGYG-HGUT-00464	secondary
MGYG-HGUT-00465	absent
MGYG-HGUT-00466	secondary
MGYG-HGUT-00467	secondary
MGYG-HGUT-00468	secondary
MGYG-HGUT-00469	absent
MGYG-HGUT-00470	primary
MGYG-HGUT-00471	secondary
MGYG-HGUT-00472	absent
MGYG-HGUT-00473	secondary
MGYG-HGUT-00474	primary
MGYG-HGUT-00475	secondary
MGYG-HGUT-00476	secondary
MGYG-HGUT-00477	absent
MGYG-HGUT-00478	secondary
MGYG-HGUT-00479	secondary
MGYG-HGUT-00480	secondary
MGYG-HGUT-00481	secondary
MGYG-HGUT-00482	absent
MGYG-HGUT-00483	secondary
MGYG-HGUT-00484	secondary
MGYG-HGUT-00485	secondary
MGYG-HGUT-00486	primary
MGYG-HGUT-00487	secondary
MGYG-HGUT-00488	primary
MGYG-HGUT-00489	secondary
MGYG-HGUT-00490	secondary
MGYG-HGUT-00491	secondary
MGYG-HGUT-00492	absent
MGYG-HGUT-00493	secondary
MGYG-HGUT-00494	absent
MGYG-HGUT-00495	secondary
MGYG-HGUT-00496	absent
MGYG-HGUT-00497	absent
MGYG-HGUT-00498	absent
MGYG-HGUT-00499	secondary
MGYG-HGUT-00500	secondary
MGYG-HGUT-00501	secondary
MGYG-HGUT-00502	secondary
MGYG-HGUT-00503	secondary
MGYG-HGUT-00504	secondary
MGYG-HGUT-00505	secondary
MGYG-HGUT-00506	secondary
MGYG-HGUT-00507	secondary
MGYG-HGUT-00508	secondary
MGYG-HGUT-00509	primary
MGYG-HGUT-00510	absent
MGYG-HGUT-00511	secondary
MGYG-HGUT-00512	absent
MGYG-HGUT-00513	secondary
MGYG-HGUT-00514	secondary
MGYG-HGUT-00515	secondary
MGYG-HGUT-00516	absent
MGYG-HGUT-00517	secondary
MGYG-HGUT-00518	secondary
MGYG-HGUT-00519	primary
MGYG-HGUT-00520	secondary
MGYG-HGUT-00521	absent
MGYG-HGUT-00522	secondary
MGYG-HGUT-00523	secondary
MGYG-HGUT-00524	secondary
MGYG-HGUT-00525	secondary
MGYG-HGUT-00526	primary
MGYG-HGUT-00527	absent
MGYG-HGUT-00528	secondary
MGYG-HGUT-00529	secondary
MGYG-HGUT-00530	primary
MGYG-HGUT-00531	secondary
MGYG-HGUT-00532	secondary
MGYG-HGUT-00533	primary
MGYG-HGUT-00534	secondary
MGYG-HGUT-00535	primary
MGYG-HGUT-00536	primary
MGYG-HGUT-00537	secondary
MGYG-HGUT-00538	secondary
MGYG-HGUT-00539	primary
MGYG-HGUT-00540	absent
MGYG-HGUT-00541	secondary
MGYG-HGUT-00542	secondary
MGYG-HGUT-00543	secondary
MGYG-HGUT-00544	secondary
MGYG-HGUT-00545	primary
MGYG-HGUT-00546	secondary
MGYG-HGUT-00547	primary
MGYG-HGUT-00548	primary
MGYG-HGUT-00549	secondary
MGYG-HGUT-00550	primary
MGYG-HGUT-00551	primary
MGYG-HGUT-00552	primary
MGYG-HGUT-00553	primary
MGYG-HGUT-00554	secondary
MGYG-HGUT-00555	secondary
MGYG-HGUT-00556	absent
MGYG-HGUT-00557	secondary
MGYG-HGUT-00558	primary
MGYG-HGUT-00559	primary
MGYG-HGUT-00560	secondary
MGYG-HGUT-00561	secondary
MGYG-HGUT-00562	secondary
MGYG-HGUT-00563	primary
MGYG-HGUT-00564	secondary
MGYG-HGUT-00565	primary
MGYG-HGUT-00566	absent
MGYG-HGUT-00567	primary
MGYG-HGUT-00568	secondary
MGYG-HGUT-00569	secondary
MGYG-HGUT-00570	secondary
MGYG-HGUT-00571	secondary
MGYG-HGUT-00572	secondary
MGYG-HGUT-00573	primary
MGYG-HGUT-00574	primary
MGYG-HGUT-00575	secondary
MGYG-HGUT-00576	secondary
MGYG-HGUT-00577	secondary
MGYG-HGUT-00578	secondary
MGYG-HGUT-00579	primary
MGYG-HGUT-00580	secondary
MGYG-HGUT-00581	secondary
MGYG-HGUT-00582	primary
MGYG-HGUT-00583	secondary
MGYG-HGUT-00584	primary
MGYG-HGUT-00585	primary
MGYG-HGUT-00586	secondary
MGYG-HGUT-00587	secondary
MGYG-HGUT-00588	absent
MGYG-HGUT-00589	secondary
MGYG-HGUT-00590	absent
MGYG-HGUT-00591	primary
MGYG-HGUT-00592	absent
MGYG-HGUT-00593	primary
MGYG-HGUT-00594	primary
MGYG-HGUT-00595	primary
MGYG-HGUT-00596	secondary
MGYG-HGUT-00597	secondary
MGYG-HGUT-00598	primary
MGYG-HGUT-00599	primary
MGYG-HGUT-00600	secondary
MGYG-HGUT-00601	secondary
MGYG-HGUT-00602	secondary
MGYG-HGUT-00603	secondary
MGYG-HGUT-00604	secondary
MGYG-HGUT-00605	secondary
MGYG-HGUT-00606	primary
MGYG-HGUT-00607	absent
MGYG-HGUT-00608	secondary
MGYG-HGUT-00609	absent
MGYG-HGUT-00610	secondary
MGYG-HGUT-00611	secondary
MGYG-HGUT-00612	primary
MGYG-HGUT-00613	primary
MGYG-HGUT-00614	secondary
MGYG-HGUT-00615	secondary
MGYG-HGUT-00616	secondary
MGYG-HGUT-00617	secondary
MGYG-HGUT-00618	absent
MGYG-HGUT-00619	primary
MGYG-HGUT-00620	secondary
MGYG-HGUT-00621	secondary
MGYG-HGUT-00622	secondary
MGYG-HGUT-00623	secondary
MGYG-HGUT-00624	secondary
MGYG-HGUT-00625	secondary
MGYG-HGUT-00626	secondary
MGYG-HGUT-00627	secondary
MGYG-HGUT-00628	absent
MGYG-HGUT-00629	absent
MGYG-HGUT-00630	secondary
MGYG-HGUT-00631	primary
MGYG-HGUT-00632	secondary
MGYG-HGUT-00633	secondary
MGYG-HGUT-00634	secondary
MGYG-HGUT-00635	secondary
MGYG-HGUT-00636	secondary
MGYG-HGUT-00637	absent
MGYG-HGUT-00638	secondary
MGYG-HGUT-00639	secondary
MGYG-HGUT-00640	primary
MGYG-HGUT-00641	primary
MGYG-HGUT-00642	secondary
MGYG-HGUT-00643	secondary
MGYG-HGUT-00644	primary
MGYG-HGUT-00645	primary
MGYG-HGUT-00646	secondary
MGYG-HGUT-00647	secondary
MGYG-HGUT-00648	primary
MGYG-HGUT-00649	primary
MGYG-HGUT-00650	primary
MGYG-HGUT-00651	primary
MGYG-HGUT-00652	primary
MGYG-HGUT-00653	primary
MGYG-HGUT-00654	secondary
MGYG-HGUT-00655	primary
MGYG-HGUT-00656	absent
MGYG-HGUT-00657	secondary
MGYG-HGUT-00658	primary
MGYG-HGUT-00659	secondary
MGYG-HGUT-00660	primary
MGYG-HGUT-00661	absent
MGYG-HGUT-00662	primary
MGYG-HGUT-00663	secondary
MGYG-HGUT-00664	absent
MGYG-HGUT-00665	secondary
MGYG-HGUT-00666	secondary
MGYG-HGUT-00667	secondary
MGYG-HGUT-00668	primary
MGYG-HGUT-00669	secondary
MGYG-HGUT-00670	secondary
MGYG-HGUT-00671	secondary
MGYG-HGUT-00672	primary
MGYG-HGUT-00673	primary
MGYG-HGUT-00674	absent
MGYG-HGUT-00675	primary
MGYG-HGUT-00676	secondary
MGYG-HGUT-00677	primary
MGYG-HGUT-00678	primary
MGYG-HGUT-00679	absent
MGYG-HGUT-00680	primary
MGYG-HGUT-00681	secondary
MGYG-HGUT-00682	primary
MGYG-HGUT-00683	secondary
MGYG-HGUT-00684	primary
MGYG-HGUT-00685	secondary
MGYG-HGUT-00686	secondary
MGYG-HGUT-00687	secondary
MGYG-HGUT-00688	absent
MGYG-HGUT-00689	secondary
MGYG-HGUT-00690	secondary
MGYG-HGUT-00691	primary
MGYG-HGUT-00692	primary
MGYG-HGUT-00693	primary
MGYG-HGUT-00694	primary
MGYG-HGUT-00695	primary
MGYG-HGUT-00696	primary
MGYG-HGUT-00697	secondary
MGYG-HGUT-00698	secondary
MGYG-HGUT-00699	absent
MGYG-HGUT-00700	secondary
MGYG-HGUT-00701	secondary
MGYG-HGUT-00702	primary
MGYG-HGUT-00703	primary
MGYG-HGUT-00704	secondary
MGYG-HGUT-00705	absent
MGYG-HGUT-00706	secondary
MGYG-HGUT-00707	primary
MGYG-HGUT-00708	secondary
MGYG-HGUT-00709	secondary
MGYG-HGUT-00710	primary
MGYG-HGUT-00711	absent
MGYG-HGUT-00712	primary
MGYG-HGUT-00713	primary
MGYG-HGUT-00714	absent
MGYG-HGUT-00715	primary
MGYG-HGUT-00716	primary
MGYG-HGUT-00717	secondary
MGYG-HGUT-00718	primary
MGYG-HGUT-00719	secondary
MGYG-HGUT-00720	secondary
MGYG-HGUT-00721	secondary
MGYG-HGUT-00722	primary
MGYG-HGUT-00723	secondary
MGYG-HGUT-00724	secondary
MGYG-HGUT-00725	absent
MGYG-HGUT-00726	secondary
MGYG-HGUT-00727	primary
MGYG-HGUT-00728	secondary
MGYG-HGUT-00729	primary
MGYG-HGUT-00730	secondary
MGYG-HGUT-00731	primary
MGYG-HGUT-00732	absent
MGYG-HGUT-00733	secondary
MGYG-HGUT-00734	secondary
MGYG-HGUT-00735	primary
MGYG-HGUT-00736	primary
MGYG-HGUT-00737	primary
MGYG-HGUT-00738	absent
MGYG-HGUT-00739	secondary
MGYG-HGUT-00740	secondary
MGYG-HGUT-00741	primary
MGYG-HGUT-00742	secondary
MGYG-HGUT-00743	secondary
MGYG-HGUT-00744	primary
MGYG-HGUT-00745	secondary
MGYG-HGUT-00746	primary
MGYG-HGUT-00747	secondary
MGYG-HGUT-00748	secondary
MGYG-HGUT-00749	secondary
MGYG-HGUT-00750	secondary
MGYG-HGUT-00751	absent
MGYG-HGUT-00752	secondary
MGYG-HGUT-00753	secondary
MGYG-HGUT-00754	secondary
MGYG-HGUT-00755	secondary
MGYG-HGUT-00756	secondary
MGYG-HGUT-00757	secondary
MGYG-HGUT-00758	primary
MGYG-HGUT-00759	secondary
MGYG-HGUT-00760	primary
MGYG-HGUT-00761	primary
MGYG-HGUT-00762	absent
MGYG-HGUT-00763	primary
MGYG-HGUT-00764	secondary
MGYG-HGUT-00765	secondary
MGYG-HGUT-00766	primary
MGYG-HGUT-00767	secondary
MGYG-HGUT-00768	primary
MGYG-HGUT-00769	primary
MGYG-HGUT-00770	primary
MGYG-HGUT-00771	secondary
MGYG-HGUT-00772	primary
MGYG-HGUT-00773	primary
MGYG-HGUT-00774	primary
MGYG-HGUT-00775	secondary
MGYG-HGUT-00776	secondary
MGYG-HGUT-00777	primary
MGYG-HGUT-00778	primary
MGYG-HGUT-00779	primary
MGYG-HGUT-00780	primary
MGYG-HGUT-00781	primary
MGYG-HGUT-00782	primary
MGYG-HGUT-00783	primary
MGYG-HGUT-00784	secondary
MGYG-HGUT-00785	absent
MGYG-HGUT-00786	primary
MGYG-HGUT-00787	primary
MGYG-HGUT-00788	primary
MGYG-HGUT-00789	primary
MGYG-HGUT-00790	primary
MGYG-HGUT-00791	absent
MGYG-HGUT-00792	primary
MGYG-HGUT-00793	secondary
MGYG-HGUT-00794	primary
MGYG-HGUT-00795	primary
MGYG-HGUT-00796	primary
MGYG-HGUT-00797	primary
MGYG-HGUT-00798	primary
MGYG-HGUT-00799	primary
MGYG-HGUT-00800	primary
MGYG-HGUT-00801	primary
MGYG-HGUT-00802	primary
MGYG-HGUT-00803	absent
MGYG-HGUT-00804	erroneous
MGYG-HGUT-00805	primary
MGYG-HGUT-00806	primary
MGYG-HGUT-00807	secondary
MGYG-HGUT-00808	primary
MGYG-HGUT-00809	secondary
MGYG-HGUT-00810	primary
MGYG-HGUT-00811	primary
MGYG-HGUT-00812	primary
MGYG-HGUT-00813	secondary
MGYG-HGUT-00814	primary
MGYG-HGUT-00815	primary
MGYG-HGUT-00816	primary
MGYG-HGUT-00817	primary
MGYG-HGUT-00818	secondary
MGYG-HGUT-00819	secondary
MGYG-HGUT-00820	secondary
MGYG-HGUT-00821	primary
MGYG-HGUT-00822	secondary
MGYG-HGUT-00823	primary
MGYG-HGUT-00824	primary
MGYG-HGUT-00825	primary
MGYG-HGUT-00826	primary
MGYG-HGUT-00827	primary
MGYG-HGUT-00828	secondary
MGYG-HGUT-00829	primary
MGYG-HGUT-00830	primary
MGYG-HGUT-00831	secondary
MGYG-HGUT-00832	primary
MGYG-HGUT-00833	primary
MGYG-HGUT-00834	secondary
MGYG-HGUT-00835	primary
MGYG-HGUT-00836	secondary
MGYG-HGUT-00837	primary
MGYG-HGUT-00838	primary
MGYG-HGUT-00839	primary
MGYG-HGUT-00840	primary
MGYG-HGUT-00841	secondary
MGYG-HGUT-00842	primary
MGYG-HGUT-00843	secondary
MGYG-HGUT-00844	secondary
MGYG-HGUT-00845	primary
MGYG-HGUT-00846	primary
MGYG-HGUT-00847	primary
MGYG-HGUT-00848	secondary
MGYG-HGUT-00849	primary
