genome_ID	gene_name
MGYG-HGUT-00047	malY,cysK,yhaM
MGYG-HGUT-00048	cysK,mccA,mccB
MGYG-HGUT-00049	cysK,mgl,yhaM
MGYG-HGUT-00050	malY,cysK,yhaM,mccB
MGYG-HGUT-00051	malY,cysK,yhaM
MGYG-HGUT-00052	cysK
MGYG-HGUT-00053	malY,yhaM
MGYG-HGUT-00054	malY,cysK,yhaM
MGYG-HGUT-00055	malY,cysK
MGYG-HGUT-00056	malY,cysK
MGYG-HGUT-00057	malY,cysK,yhaM
MGYG-HGUT-00058	malY,cysK
MGYG-HGUT-00059	cysK,yhaM
MGYG-HGUT-00060	malY,cysK
MGYG-HGUT-00061	cysK,yhaM
MGYG-HGUT-00062	cysK,mgl,yhaM
MGYG-HGUT-00063	malY,cysK
MGYG-HGUT-00064	cysK,yhaM
MGYG-HGUT-00065	malY,cysK,mccB
MGYG-HGUT-00066	malY,cysK,yhaM,mccB
MGYG-HGUT-00067	malY,cysK,yhaM,mccB
MGYG-HGUT-00068	cysK,yhaM
MGYG-HGUT-00069	cysK
MGYG-HGUT-00070	cysK,yhaM
MGYG-HGUT-00071	malY,cysK,yhaM
MGYG-HGUT-00072	cysK
MGYG-HGUT-00073	malY,cysK,yhaM
MGYG-HGUT-00074	malY,yhaM
MGYG-HGUT-00075	malY,cysK,mgl,yhaM
MGYG-HGUT-00076	malY,cysK,mccB
MGYG-HGUT-00077	cysK
MGYG-HGUT-00078	malY,cysK
MGYG-HGUT-00079	malY,cysK,mccA,mccB
MGYG-HGUT-00080	cysK
MGYG-HGUT-00081	cysK,mccB
MGYG-HGUT-00082	cysM,cysK,iscS
MGYG-HGUT-00083	mgl,malY,mccB,cysK,mccA
MGYG-HGUT-00084	cysK,yhaM
MGYG-HGUT-00085	cysK,yhaM
MGYG-HGUT-00086	cysK,yhaM
MGYG-HGUT-00087	malY,yhaM
MGYG-HGUT-00088	malY,cysK
MGYG-HGUT-00089	cysK
MGYG-HGUT-00090	cysK
MGYG-HGUT-00091	cysM,metC,aspC,iscS
MGYG-HGUT-00092	cysK,yhaM
MGYG-HGUT-00093	dcyD,cysM,yhaM,malY,iscS,aspC,mccB,cysK,tnaA,metC,sseA
MGYG-HGUT-00094	cysK,yhaM
MGYG-HGUT-00095	malY,cysK,yhaM,mccB
MGYG-HGUT-00096	mccB
MGYG-HGUT-00097	malY,cysK,mccA,mccB
MGYG-HGUT-00098	malY,cysK,yhaM
MGYG-HGUT-00099	malY,cysK,yhaM
MGYG-HGUT-00100	malY,cysK
MGYG-HGUT-00101	cysK,mccB
MGYG-HGUT-00102	cysK,mgl,yhaM
MGYG-HGUT-00103	malY,cysK,yhaM
MGYG-HGUT-00104	malY,cysK,yhaM,mccB
MGYG-HGUT-00105	malY,cysK,yhaM
MGYG-HGUT-00106	malY,cysK,mccA,mccB
MGYG-HGUT-00107	dcyD,cysM,yhaM,malY,iscS,aspC,mccB,cysK,tnaA,metC,sseA
MGYG-HGUT-00108	dcyD,cysM,mgl,yhaM,malY,iscS,aspC,cysK,yhaO,metC,sseA
MGYG-HGUT-00109	malY,cysK
MGYG-HGUT-00110	dcyD,cysM,yhaM,malY,iscS,aspC,cysK,yhaO,metC,sseA
MGYG-HGUT-00111	yhaO,cysK,yhaM
MGYG-HGUT-00112	malY,cysK
MGYG-HGUT-00113	malY,cysK,mccB
MGYG-HGUT-00114	malY,cysK
MGYG-HGUT-00115	malY,cysK,mgl,yhaM
MGYG-HGUT-00116	malY,cysK,mccA,mccB
MGYG-HGUT-00117	malY,cysK,yhaM
MGYG-HGUT-00118	cysK,yhaM
MGYG-HGUT-00119	malY,cysK,yhaM
MGYG-HGUT-00120	malY,cysK,yhaM
MGYG-HGUT-00121	malY,cysK,mccB
MGYG-HGUT-00122	cysK,mccA,mccB
MGYG-HGUT-00123	malY,cysK,yhaM
MGYG-HGUT-00124	dcyD,cysM,mgl,yhaM,malY,iscS,aspC,cysK,yhaO,metC,sseA
MGYG-HGUT-00125	cysK,mccA,mccB
MGYG-HGUT-00126	malY,cysK,yhaM
MGYG-HGUT-00127	malY,cysK,yhaM
MGYG-HGUT-00128	yhaM
MGYG-HGUT-00129	cysK
MGYG-HGUT-00130	cysK
MGYG-HGUT-00131	cysK,yhaM
MGYG-HGUT-00132	malY,cysK,yhaM
MGYG-HGUT-00133	malY,cysK,yhaM
MGYG-HGUT-00134	malY,cysK,yhaM
MGYG-HGUT-00135	cysK,yhaM
MGYG-HGUT-00136	malY,cysK
MGYG-HGUT-00137	malY,cysK,yhaM,mccB
MGYG-HGUT-00138	malY,cysK,yhaM
MGYG-HGUT-00139	cysK
MGYG-HGUT-00140	cysK
MGYG-HGUT-00141	malY,cysK,yhaM,mccB
MGYG-HGUT-00142	cysK,yhaM
MGYG-HGUT-00143	cysK,yhaM
MGYG-HGUT-00144	malY,cysK
MGYG-HGUT-00145	malY,cysK,yhaM,mccB
MGYG-HGUT-00146	malY,cysK,yhaM
MGYG-HGUT-00147	malY,cysK,mccA,mccB
MGYG-HGUT-00148	malY,cysK,yhaM
MGYG-HGUT-00149	cysK,yhaM
MGYG-HGUT-00150	malY,cysK,yhaM
MGYG-HGUT-00151	malY,cysK,yhaM
MGYG-HGUT-00152	malY,cysK,yhaM,mccB
MGYG-HGUT-00153	malY,cysK,mccB
MGYG-HGUT-00154	cysK,mccB
MGYG-HGUT-00155	mccB
MGYG-HGUT-00156	cysK,yhaM
MGYG-HGUT-00157	malY,cysK,yhaM
MGYG-HGUT-00158	cysK,yhaM
MGYG-HGUT-00159	malY,cysK,yhaM
MGYG-HGUT-00160	cysK,yhaM
MGYG-HGUT-00161	malY,cysK
MGYG-HGUT-00162	malY,mccA,mccB
MGYG-HGUT-00163	malY
MGYG-HGUT-00164	malY,cysK,yhaM,mccB
MGYG-HGUT-00165	cysK,yhaM
MGYG-HGUT-00166	cysK,mccA,mccB
MGYG-HGUT-00167	cysK,yhaM
MGYG-HGUT-00168	malY,yhaM
MGYG-HGUT-00169	cysK
MGYG-HGUT-00170	malY,cysK
MGYG-HGUT-00171	cysK,yhaM
MGYG-HGUT-00172	malY,cysK,yhaM
MGYG-HGUT-00173	cysK,mccB
MGYG-HGUT-00174	malY,cysK,yhaM
MGYG-HGUT-00175	cysK,yhaM
MGYG-HGUT-00176	cysK,yhaM
MGYG-HGUT-00177	cysK,yhaM
MGYG-HGUT-00178	malY,cysK
MGYG-HGUT-00179	malY,cysK,yhaM
MGYG-HGUT-00180	cysK,yhaM
MGYG-HGUT-00181	malY,cysK,yhaM
MGYG-HGUT-00182	malY,cysK,mccB
MGYG-HGUT-00183	malY,yhaM
MGYG-HGUT-00184	cysK,yhaM
MGYG-HGUT-00185	absent
MGYG-HGUT-00186	cysK,yhaM
MGYG-HGUT-00187	malY,cysK
MGYG-HGUT-00188	cysK,yhaM
MGYG-HGUT-00189	malY,cysK,mccB
MGYG-HGUT-00190	malY,cysK
MGYG-HGUT-00191	malY,cysK,mccA,mccB
MGYG-HGUT-00192	malY,yhaM
MGYG-HGUT-00193	malY,cysK,yhaM,mccB
MGYG-HGUT-00194	malY,cysK,yhaM
MGYG-HGUT-00195	cysK,yhaM
MGYG-HGUT-00196	malY,cysK,yhaM
MGYG-HGUT-00197	cysK,yhaM
MGYG-HGUT-00198	malY,cysK,yhaM
MGYG-HGUT-00199	malY,cysK
MGYG-HGUT-00200	cysK,yhaM
MGYG-HGUT-00201	malY,cysK,yhaM,mccB
MGYG-HGUT-00202	malY,cysK,yhaM
MGYG-HGUT-00203	malY,yhaM
MGYG-HGUT-00204	malY,cysK
MGYG-HGUT-00205	malY,cysK,yhaM,mccB
MGYG-HGUT-00206	malY,cysK,yhaM
MGYG-HGUT-00207	cysK,yhaM
MGYG-HGUT-00208	cysK
MGYG-HGUT-00209	malY,cysK
MGYG-HGUT-00210	cysK,yhaM
MGYG-HGUT-00211	malY,cysK,yhaM
MGYG-HGUT-00212	cysK,yhaM
MGYG-HGUT-00213	cysK,yhaM
MGYG-HGUT-00214	malY,cysK,mccB
MGYG-HGUT-00215	malY,yhaM
MGYG-HGUT-00216	cysK,yhaM
MGYG-HGUT-00217	malY,cysK,mccB
MGYG-HGUT-00218	malY,yhaM,mccB
MGYG-HGUT-00219	malY,cysK,mccB
MGYG-HGUT-00220	malY,yhaM
MGYG-HGUT-00221	malY,cysK,yhaM
MGYG-HGUT-00222	malY,cysK,yhaM
MGYG-HGUT-00223	malY,cysK,yhaM
MGYG-HGUT-00224	malY,cysK,yhaM
MGYG-HGUT-00225	cysK,metC,aspC,iscS
MGYG-HGUT-00226	malY,cysK,mccB
MGYG-HGUT-00227	malY,cysK,mccA,mccB
MGYG-HGUT-00228	cysK,yhaM
MGYG-HGUT-00229	malY,cysK,yhaM
MGYG-HGUT-00230	malY,cysK,yhaM,mccB
MGYG-HGUT-00231	malY,cysK
MGYG-HGUT-00232	cysK,yhaM
MGYG-HGUT-00233	malY,cysK,yhaM
MGYG-HGUT-00234	malY,cysK,mccB
MGYG-HGUT-00235	dcyD,cysM,yhaM,malY,iscS,aspC,mccB,cysK,yhaO,metC,sseA
MGYG-HGUT-00236	malY,cysK,yhaM
MGYG-HGUT-00237	cysK,yhaM
MGYG-HGUT-00238	malY,cysK,mccA,mccB
MGYG-HGUT-00239	cysK,yhaM
MGYG-HGUT-00240	yhaM
MGYG-HGUT-00241	cysK
MGYG-HGUT-00242	malY,cysK,yhaM
MGYG-HGUT-00243	malY,cysK,yhaM
MGYG-HGUT-00244	malY,cysK,yhaM
MGYG-HGUT-00245	malY,cysK,mccB
MGYG-HGUT-00246	malY,cysK
MGYG-HGUT-00247	cysK,yhaM
MGYG-HGUT-00248	mccB
MGYG-HGUT-00249	malY,cysK,yhaM,mccB
MGYG-HGUT-00250	cysK
MGYG-HGUT-00251	malY,cysK,yhaM,mccB
MGYG-HGUT-00252	cysK,yhaM
MGYG-HGUT-00253	cysK,yhaM
MGYG-HGUT-00254	malY,yhaM
MGYG-HGUT-00255	malY,cysK,yhaM
MGYG-HGUT-00256	cysK,yhaM,mccB
MGYG-HGUT-00257	cysK,yhaM
MGYG-HGUT-00258	cysK
MGYG-HGUT-00259	malY,cysK,yhaM
MGYG-HGUT-00260	cysK,yhaM
MGYG-HGUT-00261	cysK,yhaM
MGYG-HGUT-00262	cysK
MGYG-HGUT-00263	malY,cysK,yhaM
MGYG-HGUT-00264	cysK,mccA,mccB
MGYG-HGUT-00265	malY,cysK,yhaM
MGYG-HGUT-00266	cysK,yhaM
MGYG-HGUT-00267	malY,cysK
MGYG-HGUT-00268	malY,cysK,yhaM,mccB
MGYG-HGUT-00269	malY,cysK,mccB
MGYG-HGUT-00270	cysK,yhaM
MGYG-HGUT-00271	malY,cysK,mccB
MGYG-HGUT-00272	malY,cysK,yhaM
MGYG-HGUT-00273	malY,cysK,yhaM
MGYG-HGUT-00274	cysK,yhaM
MGYG-HGUT-00275	cysK,yhaM
MGYG-HGUT-00276	cysK,mgl,yhaM
MGYG-HGUT-00277	malY,cysK,mccB
MGYG-HGUT-00278	malY,yhaM,mccB
MGYG-HGUT-00279	malY,cysK,yhaM,mccB
MGYG-HGUT-00280	malY,cysK,mccB
MGYG-HGUT-00281	malY,cysK,yhaM
MGYG-HGUT-00282	malY,cysK
MGYG-HGUT-00283	yhaM
MGYG-HGUT-00284	malY,cysK,yhaM
MGYG-HGUT-00285	absent
MGYG-HGUT-00286	absent
MGYG-HGUT-00287	malY,cysK,yhaM
MGYG-HGUT-00288	yhaM
MGYG-HGUT-00289	malY,yhaM
MGYG-HGUT-00290	cysK,yhaM
MGYG-HGUT-00291	absent
MGYG-HGUT-00292	cysK
MGYG-HGUT-00293	malY,cysK,mccB
MGYG-HGUT-00294	yhaM
MGYG-HGUT-00295	malY,cysK,yhaM,mccB
MGYG-HGUT-00296	cysK,yhaM
MGYG-HGUT-00297	absent
MGYG-HGUT-00298	malY,cysK
MGYG-HGUT-00299	cysK
MGYG-HGUT-00300	malY
MGYG-HGUT-00301	cysK,yhaM
MGYG-HGUT-00302	cysK,yhaM
MGYG-HGUT-00303	cysK
MGYG-HGUT-00304	cysK
MGYG-HGUT-00305	yhaM
MGYG-HGUT-00306	cysK
MGYG-HGUT-00307	cysK
MGYG-HGUT-00308	absent
MGYG-HGUT-00309	cysK,yhaM
MGYG-HGUT-00310	absent
MGYG-HGUT-00311	malY,yhaM,mccB
MGYG-HGUT-00312	malY,cysK,yhaM
MGYG-HGUT-00313	cysK
MGYG-HGUT-00314	yhaM
MGYG-HGUT-00315	cysK
MGYG-HGUT-00316	malY,cysK,yhaM,mccB
MGYG-HGUT-00317	yhaM,aspC,iscS,mccB,cysK,metC
MGYG-HGUT-00318	malY,cysK
MGYG-HGUT-00319	cysK
MGYG-HGUT-00320	cysK,yhaM
MGYG-HGUT-00321	cysK,yhaM
MGYG-HGUT-00322	malY,yhaM
MGYG-HGUT-00323	malY,cysK,mccA,mccB
MGYG-HGUT-00324	cysK
MGYG-HGUT-00325	malY,cysK,mccB
MGYG-HGUT-00326	absent
MGYG-HGUT-00327	absent
MGYG-HGUT-00328	absent
MGYG-HGUT-00329	cysK,aspC
MGYG-HGUT-00330	malY,mccB
MGYG-HGUT-00331	cysK,yhaM
MGYG-HGUT-00332	absent
MGYG-HGUT-00333	absent
MGYG-HGUT-00334	malY,cysK
MGYG-HGUT-00335	malY,cysK
MGYG-HGUT-00336	absent
MGYG-HGUT-00337	dcyD,cysM,mgl,malY,iscS,aspC,cysK,yhaO,metC,sseA
MGYG-HGUT-00338	malY,cysK,aspC
MGYG-HGUT-00339	cysK
MGYG-HGUT-00340	mccB
MGYG-HGUT-00341	absent
MGYG-HGUT-00342	metC,aspC,iscS
MGYG-HGUT-00343	malY,yhaM
MGYG-HGUT-00344	cysK
MGYG-HGUT-00345	cysK
MGYG-HGUT-00346	malY,cysK,mccB
MGYG-HGUT-00347	malY,cysK
MGYG-HGUT-00348	malY,yhaM
MGYG-HGUT-00349	cysK
MGYG-HGUT-00350	cysK
MGYG-HGUT-00351	malY,yhaM,aspC,iscS
MGYG-HGUT-00352	cysK
MGYG-HGUT-00353	malY
MGYG-HGUT-00354	yhaM
MGYG-HGUT-00355	malY,cysK,yhaM
MGYG-HGUT-00356	malY,cysK
MGYG-HGUT-00357	malY
MGYG-HGUT-00358	malY,cysK,yhaM
MGYG-HGUT-00359	malY,cysK,yhaM,mccB
MGYG-HGUT-00360	cysK
MGYG-HGUT-00361	cysK
MGYG-HGUT-00362	cysK
MGYG-HGUT-00363	cysK
MGYG-HGUT-00364	malY,cysK
MGYG-HGUT-00365	absent
MGYG-HGUT-00366	malY,cysK,mccB
MGYG-HGUT-00367	malY,cysK
MGYG-HGUT-00368	cysK,yhaM
MGYG-HGUT-00369	malY,cysK,yhaM
MGYG-HGUT-00370	cysK,yhaM
MGYG-HGUT-00371	cysK
MGYG-HGUT-00372	absent
MGYG-HGUT-00373	cysK
MGYG-HGUT-00374	absent
MGYG-HGUT-00375	absent
MGYG-HGUT-00376	absent
MGYG-HGUT-00377	malY,cysK
MGYG-HGUT-00378	malY,yhaM,mccB
MGYG-HGUT-00379	cysK
MGYG-HGUT-00380	yhaM
MGYG-HGUT-00381	absent
MGYG-HGUT-00382	absent
MGYG-HGUT-00383	cysK
MGYG-HGUT-00384	absent
MGYG-HGUT-00385	cysK
MGYG-HGUT-00386	malY,cysK
MGYG-HGUT-00387	cysK
MGYG-HGUT-00388	malY,cysK
MGYG-HGUT-00389	malY,mccB
MGYG-HGUT-00390	malY
MGYG-HGUT-00391	cysK
MGYG-HGUT-00392	cysK
MGYG-HGUT-00393	malY
MGYG-HGUT-00394	cysK
MGYG-HGUT-00395	cysK
MGYG-HGUT-00396	cysK,yhaM
MGYG-HGUT-00397	absent
MGYG-HGUT-00398	malY,cysK
MGYG-HGUT-00399	cysK
MGYG-HGUT-00400	malY
MGYG-HGUT-00401	absent
MGYG-HGUT-00402	cysK
MGYG-HGUT-00403	cysK
MGYG-HGUT-00404	cysK
MGYG-HGUT-00405	malY,cysK
MGYG-HGUT-00406	cysK
MGYG-HGUT-00407	absent
MGYG-HGUT-00408	cysK
MGYG-HGUT-00409	cysK
MGYG-HGUT-00410	cysK
MGYG-HGUT-00411	malY
MGYG-HGUT-00412	malY,cysK,aspC,mccB
MGYG-HGUT-00413	cysK
MGYG-HGUT-00414	malY,yhaM
MGYG-HGUT-00415	malY,cysK,yhaM
MGYG-HGUT-00416	malY,cysK
MGYG-HGUT-00417	malY,cysK,mccB
MGYG-HGUT-00418	cysK,yhaM
MGYG-HGUT-00419	absent
MGYG-HGUT-00420	cysK
MGYG-HGUT-00421	absent
MGYG-HGUT-00422	cysK
MGYG-HGUT-00423	absent
MGYG-HGUT-00424	malY,cysK
MGYG-HGUT-00425	absent
MGYG-HGUT-00426	absent
MGYG-HGUT-00427	malY
MGYG-HGUT-00428	malY,cysK
MGYG-HGUT-00429	cysK
MGYG-HGUT-00430	absent
MGYG-HGUT-00431	malY,cysK
MGYG-HGUT-00432	absent
MGYG-HGUT-00433	malY
MGYG-HGUT-00434	absent
MGYG-HGUT-00435	cysK
MGYG-HGUT-00436	cysK
MGYG-HGUT-00437	cysK,yhaM
MGYG-HGUT-00438	cysK
MGYG-HGUT-00439	malY,cysK,mgl,yhaM
MGYG-HGUT-00440	malY,cysK
MGYG-HGUT-00441	cysK
MGYG-HGUT-00442	malY,yhaM
MGYG-HGUT-00443	cysK
MGYG-HGUT-00444	cysK
MGYG-HGUT-00445	absent
MGYG-HGUT-00446	malY
MGYG-HGUT-00447	cysK
MGYG-HGUT-00448	malY,cysK
MGYG-HGUT-00449	absent
MGYG-HGUT-00450	malY,cysK
MGYG-HGUT-00451	cysK,yhaM
MGYG-HGUT-00452	malY
MGYG-HGUT-00453	cysK
MGYG-HGUT-00454	cysK
MGYG-HGUT-00455	absent
MGYG-HGUT-00456	absent
MGYG-HGUT-00457	cysK
MGYG-HGUT-00458	cysK,yhaM
MGYG-HGUT-00459	absent
MGYG-HGUT-00460	cysK
MGYG-HGUT-00461	absent
MGYG-HGUT-00462	malY,cysK
MGYG-HGUT-00463	cysK
MGYG-HGUT-00464	cysK
MGYG-HGUT-00465	absent
MGYG-HGUT-00466	cysK
MGYG-HGUT-00467	cysK
MGYG-HGUT-00468	cysK
MGYG-HGUT-00469	absent
MGYG-HGUT-00470	malY,yhaM
MGYG-HGUT-00471	malY
MGYG-HGUT-00472	absent
MGYG-HGUT-00473	cysK
MGYG-HGUT-00474	yhaM
MGYG-HGUT-00475	cysK,aspC,iscS
MGYG-HGUT-00476	cysK,mccB
MGYG-HGUT-00477	absent
MGYG-HGUT-00478	malY
MGYG-HGUT-00479	cysK
MGYG-HGUT-00480	cysK
MGYG-HGUT-00481	malY,cysK
MGYG-HGUT-00482	absent
MGYG-HGUT-00483	cysK
MGYG-HGUT-00484	malY,cysK,mccB
MGYG-HGUT-00485	cysK
MGYG-HGUT-00486	malY,cysK,yhaM,mccB
MGYG-HGUT-00487	malY,cysK
MGYG-HGUT-00488	malY,yhaM
MGYG-HGUT-00489	cysK
MGYG-HGUT-00490	malY,cysK
MGYG-HGUT-00491	cysK
MGYG-HGUT-00492	absent
MGYG-HGUT-00493	cysK
MGYG-HGUT-00494	absent
MGYG-HGUT-00495	malY,cysK
MGYG-HGUT-00496	absent
MGYG-HGUT-00497	absent
MGYG-HGUT-00498	absent
MGYG-HGUT-00499	malY,cysK
MGYG-HGUT-00500	cysK
MGYG-HGUT-00501	malY,cysK
MGYG-HGUT-00502	malY
MGYG-HGUT-00503	cysK
MGYG-HGUT-00504	cysK
MGYG-HGUT-00505	cysK
MGYG-HGUT-00506	cysK
MGYG-HGUT-00507	cysK
MGYG-HGUT-00508	cysK
MGYG-HGUT-00509	cysK,yhaM
MGYG-HGUT-00510	absent
MGYG-HGUT-00511	cysK
MGYG-HGUT-00512	absent
MGYG-HGUT-00513	cysK,mccB
MGYG-HGUT-00514	cysK
MGYG-HGUT-00515	malY,cysK,mccB
MGYG-HGUT-00516	absent
MGYG-HGUT-00517	cysK,mccB
MGYG-HGUT-00518	cysK
MGYG-HGUT-00519	cysK,yhaM
MGYG-HGUT-00520	malY,cysK
MGYG-HGUT-00521	absent
MGYG-HGUT-00522	cysK
MGYG-HGUT-00523	cysK
MGYG-HGUT-00524	cysK
MGYG-HGUT-00525	cysK,metC,aspC,iscS
MGYG-HGUT-00526	malY,cysK,yhaM
MGYG-HGUT-00527	absent
MGYG-HGUT-00528	cysK
MGYG-HGUT-00529	cysK
MGYG-HGUT-00530	malY,mgl,yhaM
MGYG-HGUT-00531	cysK
MGYG-HGUT-00532	malY,cysK
MGYG-HGUT-00533	malY,cysK,yhaM,mccB
MGYG-HGUT-00534	malY,cysK
MGYG-HGUT-00535	cysK,yhaM
MGYG-HGUT-00536	cysK,mgl,yhaM
MGYG-HGUT-00537	malY,cysK
MGYG-HGUT-00538	cysK,mccB
MGYG-HGUT-00539	yhaM
MGYG-HGUT-00540	absent
MGYG-HGUT-00541	cysK
MGYG-HGUT-00542	cysK
MGYG-HGUT-00543	malY,cysK
MGYG-HGUT-00544	cysK
MGYG-HGUT-00545	yhaM
MGYG-HGUT-00546	malY,cysK,mccB
MGYG-HGUT-00547	malY,cysK,yhaM
MGYG-HGUT-00548	yhaM,malY,aspC,iscS,cysK
MGYG-HGUT-00549	cysK
MGYG-HGUT-00550	cysK,yhaM
MGYG-HGUT-00551	metC,yhaM
MGYG-HGUT-00552	yhaM
MGYG-HGUT-00553	malY,cysK,yhaM
MGYG-HGUT-00554	cysK
MGYG-HGUT-00555	cysK
MGYG-HGUT-00556	absent
MGYG-HGUT-00557	malY,cysK,iscS
MGYG-HGUT-00558	yhaO,cysK,mgl,yhaM
MGYG-HGUT-00559	malY,cysK,yhaM
MGYG-HGUT-00560	malY,cysK,aspC,iscS
MGYG-HGUT-00561	malY,cysK
MGYG-HGUT-00562	malY,cysK
MGYG-HGUT-00563	cysK,yhaM
MGYG-HGUT-00564	cysK,metC,aspC,iscS
MGYG-HGUT-00565	cysK,yhaM
MGYG-HGUT-00566	absent
MGYG-HGUT-00567	yhaM,metC,aspC,iscS
MGYG-HGUT-00568	malY,cysK
MGYG-HGUT-00569	metC
MGYG-HGUT-00570	cysK
MGYG-HGUT-00571	cysK
MGYG-HGUT-00572	cysK
MGYG-HGUT-00573	cysK,yhaM
MGYG-HGUT-00574	malY,cysK,yhaM,mccB
MGYG-HGUT-00575	cysK
MGYG-HGUT-00576	malY,cysK
MGYG-HGUT-00577	cysK
MGYG-HGUT-00578	cysK
MGYG-HGUT-00579	cysK,yhaM
MGYG-HGUT-00580	malY,cysK,mccB
MGYG-HGUT-00581	cysK
MGYG-HGUT-00582	malY,cysK,yhaM,mccB
MGYG-HGUT-00583	malY,cysK,mccB
MGYG-HGUT-00584	yhaM
MGYG-HGUT-00585	malY,cysK,yhaM
MGYG-HGUT-00586	cysK
MGYG-HGUT-00587	cysK
MGYG-HGUT-00588	absent
MGYG-HGUT-00589	malY,cysK
MGYG-HGUT-00590	absent
MGYG-HGUT-00591	malY,cysK,yhaM,mccB
MGYG-HGUT-00592	absent
MGYG-HGUT-00593	yhaM
MGYG-HGUT-00594	cysK,yhaM
MGYG-HGUT-00595	cysK,yhaM
MGYG-HGUT-00596	cysK
MGYG-HGUT-00597	malY,cysK,mccB
MGYG-HGUT-00598	cysK,yhaM
MGYG-HGUT-00599	cysK,yhaM
MGYG-HGUT-00600	cysK
MGYG-HGUT-00601	malY,cysK
MGYG-HGUT-00602	cysK
MGYG-HGUT-00603	cysK
MGYG-HGUT-00604	cysK,mccB
MGYG-HGUT-00605	cysK
MGYG-HGUT-00606	yhaM
MGYG-HGUT-00607	absent
MGYG-HGUT-00608	cysK
MGYG-HGUT-00609	absent
MGYG-HGUT-00610	cysK
MGYG-HGUT-00611	malY,cysK,mccB
MGYG-HGUT-00612	yhaO,cysK,yhaM
MGYG-HGUT-00613	cysK,yhaM
MGYG-HGUT-00614	cysK
MGYG-HGUT-00615	cysK,mccB
MGYG-HGUT-00616	cysK
MGYG-HGUT-00617	cysK
MGYG-HGUT-00618	absent
MGYG-HGUT-00619	malY,yhaM
MGYG-HGUT-00620	malY,cysK,mccB
MGYG-HGUT-00621	cysK,mccB
MGYG-HGUT-00622	cysK
MGYG-HGUT-00623	malY,cysK,mccB
MGYG-HGUT-00624	malY,cysK,aspC,iscS
MGYG-HGUT-00625	malY,cysK
MGYG-HGUT-00626	cysK
MGYG-HGUT-00627	malY,cysK
MGYG-HGUT-00628	absent
MGYG-HGUT-00629	absent
MGYG-HGUT-00630	malY,mccB
MGYG-HGUT-00631	malY,cysK,yhaM
MGYG-HGUT-00632	cysM,malY,aspC,iscS,cysK
MGYG-HGUT-00633	cysK
MGYG-HGUT-00634	malY,cysK,aspC,iscS
MGYG-HGUT-00635	malY,cysK,mccB
MGYG-HGUT-00636	cysK
MGYG-HGUT-00637	absent
MGYG-HGUT-00638	malY,cysK
MGYG-HGUT-00639	cysK
MGYG-HGUT-00640	cysK,yhaM
MGYG-HGUT-00641	cysK,yhaM
MGYG-HGUT-00642	cysK
MGYG-HGUT-00643	malY,cysK,mccB
MGYG-HGUT-00644	malY,cysK,yhaM
MGYG-HGUT-00645	cysK,yhaM
MGYG-HGUT-00646	cysK
MGYG-HGUT-00647	malY,cysK
MGYG-HGUT-00648	cysK,yhaM
MGYG-HGUT-00649	cysK,yhaM
MGYG-HGUT-00650	malY,cysK,yhaM
