DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	state
COLOR	#ff0000
FIELD_COLORS	# TODO: more than 12 type; Please add color palette here; separated by tab
FIELD_LABELS	mccB	mccA	yhaO	tnaA	sseA	metC	dcyD	malY	aspC	mgl	yhaM	cysM	iscS	cysK	gene_name
g__Bifidobacterium	0.808	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.511	0.0
g__Brevibacterium	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__QAMH01	0.378	0.0	0.0	0.0	0.0	0.0	0.0	0.378	0.0	0.0	0.0	0.0	0.0	0.926	0.0
g__Libanicoccus	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Olsenella_E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Olsenella_B	0.866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	1.0	0.0
g__Lancefieldella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Eggerthella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__Slackia_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__CAG-1427	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.943	0.0
g__Senegalimassilia	0.913	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Gordonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	1.0	0.0
g__Enorma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.866	0.0	0.0	1.0	0.0
g__Collinsella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.859	0.0
o__Rhizobiales	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
o__Rs-D84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o__RF32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.789	0.0
g__Pseudomonas_E	0.577	0.0	0.0	0.0	0.0	0.0	0.577	0.408	1.0	0.577	0.0	0.913	0.913	0.913	0.0
g__Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.289	0.0	0.0	0.707	0.0	0.0	1.0	0.957	0.866	0.0
g__Stenotrophomonas	0.943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.943	0.0
g__Neisseria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.866	1.0	0.0
g__Dakarella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.816	0.0	0.0	0.0	0.816	0.816	0.0
g__Sutterella	0.385	0.0	0.0	0.0	0.0	0.509	0.0	0.667	0.861	0.0	0.667	0.385	1.0	0.72	0.0
g__CAG-521	0.0	0.0	0.0	0.0	0.0	0.802	0.0	0.378	0.845	0.0	0.964	0.0	0.926	0.0	0.0
g__Duodenibacillus	0.289	0.0	0.0	0.0	0.0	0.816	0.0	0.5	1.0	0.0	0.289	0.0	1.0	1.0	0.0
g__Oxalobacter	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.378	0.845	0.0	0.0	0.0	1.0	0.926	0.0
g__Parasutterella	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.894	0.0	0.894	0.0	1.0	0.894	0.0
g__Vibrio	0.0	0.0	0.577	0.707	0.0	1.0	0.0	0.707	1.0	0.0	0.577	0.577	1.0	0.816	0.0
g__Haemophilus_D	0.935	0.0	0.0	0.0	0.0	0.968	0.0	0.0	0.968	0.0	0.935	0.0	0.968	0.935	0.0
g__Haemophilus_A	0.577	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0	0.816	0.0	0.816	0.816	0.0
g__Succinivibrio	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.943	0.943	0.0	0.0	0.0	0.0	0.745	0.0
g__Escherichia	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.447	1.0	1.0	1.0	1.0	0.0
g__Providencia	0.913	0.0	0.913	0.0	0.0	1.0	1.0	0.0	1.0	0.913	0.913	1.0	1.0	1.0	0.0
g__Proteus	0.632	0.0	1.0	0.0	0.0	0.894	0.0	0.447	0.894	0.894	1.0	1.0	1.0	1.0	0.0
g__Kluyvera	0.816	0.0	0.816	0.816	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
g__Pantoea	0.0	0.0	0.0	0.354	1.0	1.0	0.866	0.935	1.0	0.0	0.0	0.935	0.935	0.935	0.0
g__Citrobacter	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
g__Morganella	0.0	0.0	1.0	0.816	1.0	1.0	1.0	1.0	1.0	1.0	0.816	1.0	0.816	1.0	0.0
g__Klebsiella	0.866	0.0	0.0	0.0	0.866	1.0	0.866	0.707	1.0	0.0	0.707	0.866	1.0	1.0	0.0
g__Yersinia	1.0	0.0	0.603	0.739	1.0	1.0	1.0	1.0	1.0	0.302	0.739	1.0	1.0	1.0	0.0
g__Enterobacter	1.0	0.0	0.832	0.0	1.0	1.0	0.961	1.0	1.0	0.0	0.832	1.0	0.961	1.0	0.0
g__Serratia	1.0	0.0	0.5	0.0	1.0	1.0	1.0	1.0	1.0	0.707	0.5	1.0	1.0	1.0	0.0
g__Klebsiella_A	0.866	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
g__Citrobacter_A	0.0	0.0	1.0	1.0	1.0	1.0	0.866	1.0	1.0	0.0	1.0	1.0	1.0	0.866	0.0
g__Metakosakonia	1.0	0.0	0.0	0.707	1.0	1.0	1.0	0.707	1.0	0.0	0.0	1.0	0.866	1.0	0.0
g__Aeromonas	0.0	0.0	0.816	0.577	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.816	1.0	1.0	0.0
g__Pyramidobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0	0.0	0.0	0.0
f__Synergistaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Campylobacter_A	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Campylobacter_D	0.408	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0
g__Campylobacter_B	0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Campylobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Helicobacter_B	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Helicobacter_D	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
f__UBA1820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Coprobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.866	0.0	0.0	0.707	0.0
g__Dysgonomonas	0.408	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0	0.0	1.0	0.0	0.0	0.816	0.0
g__Odoribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.935	0.0	0.0	0.935	0.0	0.0	0.0	0.0
g__Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.943	0.0	0.0	0.0	0.0
g__RF16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.816	0.0	0.0	0.408	0.0
g__Parabacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.962	0.0	0.0	0.962	0.0
g__Alistipes_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.0	0.0	0.0	0.949	0.0
g__Alistipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.951	0.0	0.0	0.408	0.0
g__Barnesiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.845	0.0	0.0	0.756	0.0	0.0	0.655	0.0
g__CAG-873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.947	0.0	0.0	0.371	0.0	0.0	0.455	0.0
g__CAG-279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.882	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Duncaniella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__Paramuribaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.0	0.0	0.447	0.0	0.0	0.0	0.0
g__CAG-485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.802	0.0	0.0	0.945	0.0	0.0	0.267	0.0
g__C941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	1.0	0.0	0.0	0.775	0.0
g__Muribaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA7173_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__K10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0
g__UBA7173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.426	0.0
g__Porphyromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.456	0.0	0.736	0.866	0.0	0.0	0.0	0.0
g__CAG-462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.707	0.0
g__Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.926	0.0	0.0	0.926	0.0
g__CAG-617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.866	0.0	0.0	0.707	0.0
g__Prevotellamassilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.661	0.0	0.0	0.935	0.0	0.0	0.866	0.0
g__UBA6398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Bacteroides_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.983	0.0	0.0	0.983	0.0	0.0	0.931	0.0
g__Bacteroides_B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__F0040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.5	0.0	0.0	0.866	0.0
g__UBA4372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.5	0.0	0.0	0.5	0.0
g__Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.944	0.0	0.095	0.94	0.0	0.0	0.838	0.0
g__Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.99	0.0	0.0	0.98	0.0
g__RC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.824	0.0	0.0	0.802	0.0	0.0	0.189	0.0
g__CAG-831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.943	0.0	0.0	0.0	0.0
g__UBA11471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	1.0	0.0	0.0	0.775	0.0
g__UBA3388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0
f__F082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.866	0.0	0.0	0.0	0.0
o__UBA1212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0
g__UBA4644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.577	0.577	0.0	0.0	0.577	0.0
g__Butyricicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.866	0.0
g__Agathobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.316	0.0	0.0	0.447	0.0	0.0	0.775	0.0
f__UBA644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.447	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__UBA1417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0	0.0	1.0	0.0
g__UBA6857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.577	0.0	0.0	1.0	0.0
g__CAG-180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.943	0.0
g__UBA5905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0
g__UBA1691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	1.0	0.0
g__UBA737	0.397	0.324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.973	0.0
g__Acutalibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.522	0.0	0.0	0.953	0.0	0.0	0.953	0.0
g__Eubacterium_R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.983	0.0
g__CAG-488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__Ruminococcus_E	0.302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953	0.0
g__CAG-177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__CAG-964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Clostridium_E	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.707	0.0	0.0	0.866	0.0
g__An200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0	0.866	0.0
g__CAG-170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.92	0.0	0.0	0.92	0.0
g__CAG-83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.0	0.732	0.964	0.0	0.0	0.982	0.0
g__Lawsonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.0	0.0	0.866	0.0	0.0	0.935	0.0
g__Intestinimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__CAG-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.545	0.0	0.0	0.93	0.0	0.0	0.915	0.0
g__UBA738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.447	0.0	0.0	0.632	0.0
g__Oscillibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.748	0.8	0.0	0.0	0.938	0.0
g__Ruminiclostridium_C	0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.447	0.0	0.0	0.894	0.0
g__UBA5446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953	0.0	0.302	0.739	0.0	0.0	0.953	0.0
g__CAG-103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	1.0	0.0
g__NK3B98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA9475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	1.0	0.0
g__ER4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.522	0.0	0.0	0.798	0.0	0.0	1.0	0.0
g__UBA1777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.236	0.0	0.333	0.707	0.0	0.0	0.85	0.0
g__F23-B02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.957	0.0	0.0	0.957	0.0
g__Flavonifractor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	0.926	0.0	0.0	1.0	0.0
f__UBA644_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0
f__QAMX01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	1.0	0.0
g__CAG-390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA1740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__CAG-841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__QALR01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Firm-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.354	0.0	0.0	0.935	0.0
g__CAG-724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UCG-010	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA3818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
g__Angelakisella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__QAMM01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Ruminiclostridium_E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.791	0.0
g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.316	0.0	0.0	0.0	0.0	0.0	0.837	0.0
g__UBA1394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA1409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	1.0	0.0
g__Ruminococcus_D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Ruthenibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Faecalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.192	0.0	0.0	0.793	0.0	0.0	0.882	0.0
g__CAG-115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.612	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Negativibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.913	0.0	0.0	0.0	0.0
g__Ruminococcus_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Gemmiger	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.0	0.0	0.612	0.0	0.0	0.968	0.0
g__Fournierella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.707	0.0
g__Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.707	0.0	0.0	0.866	0.0
g__Clostridium_J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.913	1.0	0.0	0.0	1.0	0.0
g__Clostridium_P	0.707	0.707	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.707	0.0	0.0	1.0	0.0
g__Clostridium	0.488	0.0	0.0	0.0	0.0	0.0	0.0	0.535	0.0	0.0	0.756	0.0	0.0	1.0	0.0
g__Clostridium_F	0.707	0.707	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.866	1.0	0.0	0.0	1.0	0.0
g__Fenollaria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
g__Ezakiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.632	0.0	0.0	0.0	0.0
g__Murdochiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
g__Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.0	0.522	0.674	0.0	0.0	0.853	0.0
g__Parvimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Finegoldia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	1.0	0.0	0.0	0.775	0.0
g__Kallipyga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
g__Peptoniphilus_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.674	0.0	0.603	0.905	0.0	0.0	1.0	0.0
g__Peptoniphilus_B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	1.0	1.0	0.0	0.0	0.0	0.0
f__Cellulosilyticaceae	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0	0.0	1.0	0.0
f__CAG-274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.426	0.0	0.0	0.0	0.0	0.0	0.905	0.0
g__Anaerotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.926	0.0
g__GCA-900066575	0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.775	0.0	0.0	0.894	0.0
g__UBA7096	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.943	0.0	0.0	0.577	0.0	0.0	0.943	0.0
g__Eubacterium_E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Faecalicatena	0.371	0.0	0.0	0.0	0.0	0.0	0.0	0.491	0.0	0.0	0.809	0.0	0.0	0.965	0.0
g__UBA7160	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__TF01-11	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.882	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Oribacterium	0.535	0.0	0.0	0.0	0.0	0.0	0.0	0.535	0.0	0.0	0.926	0.0	0.0	0.378	0.0
g__Eubacterium_F	0.632	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__Coprococcus_B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	1.0	0.0	0.0	0.816	0.0
g__Eubacterium_G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.378	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Clostridium_M	0.283	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	1.0	0.0	0.0	0.959	0.0
g__CAG-127	0.408	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Eubacterium_I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Coprococcus	0.667	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Ruminococcus_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Robinsoniella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.894	0.0	0.0	1.0	0.0
g__Hungatella	0.775	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Roseburia	0.913	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.408	0.0	0.0	0.913	0.0
